scenario_index,correct_diagnosis,baseline_diagnosis,baseline_moderator,baseline_correct,baseline_reached_diagnosis,pnlc_diagnosis,pnlc_moderator,pnlc_correct,pnlc_reached_diagnosis,outcome,pnlc_run,baseline_turns,baseline_parse_failures,baseline_critic_used_turns,baseline_critic_changed_action_turns,baseline_critic_error_turns,baseline_forced_diagnosis_used,pnlc_turns,pnlc_parse_failures,pnlc_critic_used_turns,pnlc_critic_changed_action_turns,pnlc_critic_error_turns,pnlc_forced_diagnosis_used,first_decisive_turn,failure_type,future_evidence_defect,critic_preferred_defect,review_notes
52,Pancreatic adenocarcinoma,DIAGNOSIS READY: Choledochal Cyst,No,False,True,DIAGNOSIS READY: Cholangiocarcinoma,No,False,True,Both wrong,PNLC,20,1,0,0,0,False,20,1,19,19,1,False,,,,,
54,Schizotypal personality disorder,"DIAGNOSIS READY: Delusional Disorder, Somatic Type (Focused on Telepathic Communication with Animals)",No,False,True,DIAGNOSIS READY: Schizophrenia,No,False,True,Both wrong,PNLC,17,0,0,0,0,False,20,0,20,20,0,False,,,,,
57,Pancreatic adenocarcinoma,DIAGNOSIS READY: Alcoholic Liver Disease,No,False,True,DIAGNOSIS READY: Alcoholic Liver Disease with Chronic Bile Duct Involvement,No,False,True,Both wrong,PNLC,20,1,0,0,0,False,20,1,19,18,1,False,,,,,
58,Lisdexamfetamine intoxication,"Given that all your tests have come back normal, it seems like the high stress and excessive caffeine intake might be contributing to your symptoms. I would recommend a psychological evaluation to better understand and address the underlying causes. Would you be comfortable with that? DIAGNOSIS READY: Stress-Induced Psychiatric Symptoms with Excessive Caffeine Intake",No,False,True,DIAGNOSIS READY: Acute Stress Disorder,No,False,True,Both wrong,PNLC,17,1,0,0,0,False,20,0,20,20,0,False,,,,,
59,Pelvic inflammatory disease,"I’ve reviewed all the information and we should have the test results shortly. Based on your symptoms, the most likely cause is a urinary tract infection (UTI). Once the test results are in, we can confirm the diagnosis and start the appropriate treatment. 

DIAGNOSIS READY: Urinary Tract Infection (UTI)",No,False,True,DIAGNOSIS READY: Urinary Tract Infection (UTI),No,False,True,Both wrong,PNLC,20,1,0,0,0,False,20,1,19,18,1,False,,,,,
60,Glossopharyngeal Neuralgia,DIAGNOSIS READY: Postsurgical Complication (Possible Neuroma or Scar Tissue Formation),No,False,True,DIAGNOSIS READY: Temporomandibular Joint Disorder with Myofascial Pain,No,False,True,Both wrong,PNLC,20,0,0,0,0,False,20,0,20,20,0,False,,,,,
63,Schizoaffective disorder,"DIAGNOSIS READY: Major Depressive Disorder with Psychotic Features. It’s important to seek help from a psychiatrist or therapist to explore treatment options, such as medication and therapy. They can provide the support and guidance you need to manage your symptoms and improve your quality of life.",No,False,True,DIAGNOSIS READY: Major Depressive Disorder with Psychotic Features,No,False,True,Both wrong,PNLC,11,0,0,0,0,False,20,0,20,19,0,False,,,,,
64,Bed bug bite,"Absolutely. In addition to the topical corticosteroid cream, I recommend showering with lukewarm water and using a gentle, fragrance-free soap. After showering, pat your skin dry and apply a moisturizer to keep your skin hydrated. Try to wear loose, breathable clothing made of natural fibers like cotton to allow your skin to breathe. If you need to be in a warm, humid environment, use a fan or air conditioning to stay cool. If the symptoms persist or worsen, please come back for a follow-up. 

DIAGNOSIS READY: Heat Rash/Irritant Contact Dermatitis",No,False,True,DIAGNOSIS READY: Idiopathic Urticaria,No,False,True,Both wrong,PNLC,11,0,0,0,0,False,20,0,20,20,0,False,,,,,
65,Membranous nephropathy,DIAGNOSIS READY: Nephrotic Syndrome,No,False,True,DIAGNOSIS READY: Paraneoplastic Syndrome Associated with Lung Malignancy,No,False,True,Both wrong,PNLC,18,0,0,0,0,False,20,1,19,19,1,False,,,,,
66,Impaired erythropoietin production,"DIAGNOSIS READY: Benign Childhood Apnea with Anemia, Likely Multifactorial. We will need to monitor your symptoms closely and consider a multidisciplinary approach to manage both the apnea and the anemia.",No,False,True,DIAGNOSIS READY: Diamond-Blackfan Anemia,No,False,True,Both wrong,PNLC,20,0,0,0,0,False,20,0,20,19,0,False,,,,,
73,Frontotemporal Dementia,DIAGNOSIS READY: Major Depressive Disorder,No,False,True,DIAGNOSIS READY: Major Depressive Disorder with Atypical Features,No,False,True,Both wrong,PNLC,20,0,0,0,0,False,20,0,20,20,0,False,,,,,
74,Granulosa cell tumor,DIAGNOSIS READY: Endometrial Cancer,No,False,True,DIAGNOSIS READY: Endometrial Cancer with Concurrent Adnexal Mass,No,False,True,Both wrong,PNLC,9,0,0,0,0,False,20,0,20,19,0,False,,,,,
75,Intraventricular Hemorrhage,DIAGNOSIS READY: Neonatal Sepsis with Possible Early Onset Encephalopathy Due to Chorioamnionitis,No,False,True,DIAGNOSIS READY: Neonatal Encephalopathy,No,False,True,Both wrong,PNLC,15,0,0,0,0,False,20,0,20,19,0,False,,,,,
80,Hemophilia A,DIAGNOSIS READY: Juvenile Idiopathic Arthritis (JIA),No,False,True,DIAGNOSIS READY: Transient Synovitis,No,False,True,Both wrong,PNLC,19,0,0,0,0,False,20,1,19,18,1,False,,,,,
82,Breast milk jaundice,"Given the elevated bilirubin levels, we should start phototherapy to help reduce the jaundice and prevent any potential complications. I’ll arrange for the treatment to begin immediately. DIAGNOSIS READY: Neonatal Hyperbilirubinemia (Physiological Jaundice)",No,False,True,DIAGNOSIS READY: Gilbert's Syndrome,No,False,True,Both wrong,PNLC,10,1,0,0,0,False,20,0,20,20,0,False,,,,,
84,Nightmare disorder,DIAGNOSIS READY: Night Terrors,No,False,True,DIAGNOSIS READY: Nighttime Anxiety,No,False,True,Both wrong,PNLC,19,0,0,0,0,False,20,0,20,20,0,False,,,,,
88,Normal behavior,"I’m glad to hear that you’re willing to take these steps. It’s important to have a support system in place, and a therapist can provide you with tools to manage your stress and improve your well-being. I’ll provide you with some mindfulness resources and a list of local therapists. Remember, taking care of your mental health is crucial, and you’re not alone in this. If you need any further assistance or have any more questions, please don’t hesitate to reach out. DIAGNOSIS READY: Adjustment Disorder with Mixed Emotional and Behavioral Symptoms",No,False,True,DIAGNOSIS READY: Adjustment Disorder with Mixed Emotional and Behavioral Symptoms,No,False,True,Both wrong,PNLC,19,0,0,0,0,False,20,0,20,19,0,False,,,,,
90,Waldenstrom macroglobulinemia,DIAGNOSIS READY: Chronic Tension-Type Headache with Visual Strain,No,False,True,DIAGNOSIS READY: Central Retinal Vein Occlusion,No,False,True,Both wrong,PNLC,20,1,0,0,0,False,20,0,20,20,0,False,,,,,
91,Apical lung tumor,DIAGNOSIS READY: Peripheral Neuropathy of the Right Arm. Further evaluation of unexplained weight loss is recommended.,No,False,True,DIAGNOSIS READY: Diabetic Peripheral Neuropathy,No,False,True,Both wrong,PNLC,20,0,0,0,0,False,20,0,20,19,0,False,,,,,
92,Tuberculosis,DIAGNOSIS READY: Sarcoidosis,No,False,True,DIAGNOSIS READY: Idiopathic Interstitial Pneumonia (IIP),No,False,True,Both wrong,PNLC,20,0,0,0,0,False,20,1,19,18,1,False,,,,,
98,Progressive multifocal leukoencephalopathy,"DIAGNOSIS READY: Toxoplasmosis encephalitis. We will start you on the appropriate antiparasitic therapy and antiretroviral therapy to manage your HIV. Please follow the treatment plan closely and return for your follow-up appointments. If you have any concerns or side effects, don’t hesitate to contact me. Take care and stay strong.",No,False,True,DIAGNOSIS READY: Toxoplasmosis encephalitis,No,False,True,Both wrong,PNLC,12,0,0,0,0,False,8,0,8,7,0,False,,,,,
102,Serum sickness-like reaction,DIAGNOSIS READY: Allergic Reaction to Antibiotics,No,False,True,DIAGNOSIS READY: Drug-Induced Hypersensitivity Syndrome (DIHS),No,False,True,Both wrong,PNLC,18,0,0,0,0,False,20,0,20,19,0,False,,,,,
103,Legg-Calvé-Perthes disease (LCPD),"DIAGNOSIS READY: Osgood-Schlatter Disease. Rest, ice, and gentle stretching will help manage the pain. If the pain persists or worsens, please come back to see me.",No,False,True,DIAGNOSIS READY: Osgood-Schlatter Disease,No,False,True,Both wrong,PNLC,18,0,0,0,0,False,20,0,20,19,0,False,,,,,
105,Erythema Toxicum,"I think we should keep an eye on the rash and monitor for any changes. If it starts to worsen or spread, or if the baby develops any new symptoms, please let me know immediately. For now, I don’t believe it’s a serious condition. DIAGNOSIS READY: Mild Pustular Rash, Likely Due to a Self-Limiting Dermatological Condition.",No,False,True,DIAGNOSIS READY: Benign Viral Exanthem,No,False,True,Both wrong,PNLC,18,0,0,0,0,False,20,0,20,20,0,False,,,,,
106,Myasthenia gravis,DIAGNOSIS READY: Overtraining Syndrome,No,False,True,DIAGNOSIS READY: Chronic Fatigue Syndrome (CFS),No,False,True,Both wrong,PNLC,20,0,0,0,0,False,20,1,19,18,1,False,,,,,
10,Hemorrhoids,"DIAGNOSIS READY: Prolapsed Internal Hemorrhoid. We’ll monitor your symptoms and adjust the treatment plan as needed. If you experience any significant changes or worsening symptoms, please contact me immediately. Have a good day, and I’ll see you in 4 weeks for your follow-up.",Yes,True,True,DIAGNOSIS READY: Rectal Polyp,No,False,True,PNLC harm,PNLC,17,1,0,0,0,False,20,0,20,20,0,False,,,,,
15,Epidermoid cyst,DIAGNOSIS READY: Benign Cystic Lesion,Yes,True,True,DIAGNOSIS READY: Benign Cyst (likely Sebaceous or Dermoid),No,False,True,PNLC harm,PNLC,20,1,0,0,0,False,20,0,20,19,0,False,,,,,
25,Primary sclerosing cholangitis,"Based on your symptoms, lab results, and imaging findings, it appears you may have primary sclerosing cholangitis (PSC). This condition often occurs in people with inflammatory bowel disease, like your ulcerative colitis. I'll need to confirm this with further testing, but this is the most likely diagnosis. DIAGNOSIS READY: Primary Sclerosing Cholangitis (PSC)",Yes,True,True,DIAGNOSIS READY: Primary Biliary Cholangitis (PBC),No,False,True,PNLC harm,PNLC,11,0,0,0,0,False,20,0,20,18,0,False,,,,,
27,Adhesive capsulitis,DIAGNOSIS READY: Frozen Shoulder (Adhesive Capsulitis),Yes,True,True,DIAGNOSIS READY: Rotator Cuff Tendonitis,No,False,True,PNLC harm,PNLC,20,0,0,0,0,False,20,0,20,19,0,False,,,,,
32,Fulminant hepatic failure,DIAGNOSIS READY: Acute Liver Failure,Yes,True,True,DIAGNOSIS READY: Drug-Induced Liver Injury (DILI),No,False,True,PNLC harm,PNLC,14,1,0,0,0,False,20,1,19,19,1,False,,,,,
40,Medullary Sponge Kidney,DIAGNOSIS READY: Medullary Sponge Kidney (MSK),Yes,True,True,DIAGNOSIS READY: Nephrolithiasis (Kidney Stone),No,False,True,PNLC harm,PNLC,12,0,0,0,0,False,20,1,19,12,1,False,,,,,
42,Active chronic hepatitis B infection,DIAGNOSIS READY: Active Hepatitis B Infection,Yes,True,True,DIAGNOSIS READY: Acute Hepatitis B,No,False,True,PNLC harm,PNLC,18,1,0,0,0,False,20,0,20,20,0,False,,,,,
47,Osteoarthritis,DIAGNOSIS READY: Osteoarthritis,Yes,True,True,DIAGNOSIS READY: Early-stage osteoarthritis with intermittent gout flair-ups.,No,False,True,PNLC harm,PNLC,17,0,0,0,0,False,20,1,19,19,1,False,,,,,
51,Atrial Septal Defect,DIAGNOSIS READY: Atrial Septal Defect (ASD) with associated heart failure and fluid retention. We will discuss the next steps with your parents.,Yes,True,True,DIAGNOSIS READY: Congestive Heart Failure Secondary to Atrial Septal Defect,No,False,True,PNLC harm,PNLC,19,1,0,0,0,False,20,1,19,18,1,False,,,,,
56,Oppositional Defiant Disorder,DIAGNOSIS READY: Oppositional Defiant Disorder (ODD),Yes,True,True,DIAGNOSIS READY: Oppositional Defiant Disorder (ODD) with comorbid reading disorder.,No,False,True,PNLC harm,PNLC,20,0,0,0,0,False,20,0,20,20,0,False,,,,,
71,Labyrinthitis,DIAGNOSIS READY: Labyrinthitis or Vestibular Neuritis,Yes,True,True,DIAGNOSIS READY: Benign Paroxysmal Positional Vertigo (BPPV),No,False,True,PNLC harm,PNLC,19,0,0,0,0,False,20,0,20,20,0,False,,,,,
83,Neuroleptic malignant syndrome,DIAGNOSIS READY: Neuroleptic Malignant Syndrome (NMS),Yes,True,True,DIAGNOSIS READY: Anti-NMDA Receptor Encephalitis,No,False,True,PNLC harm,PNLC,15,1,0,0,0,False,20,0,20,20,0,False,,,,,
86,Actinic Keratosis,DIAGNOSIS READY: Actinic Keratosis,Yes,True,True,"Before we conclude, I would like to discuss the results of the biopsy we performed. The results indicate that the lesion on your hand is a squamous cell carcinoma. It's important to start treatment promptly and to take steps to protect your skin from further sun damage. DIAGNOSIS READY: Squamous Cell Carcinoma",No,False,True,PNLC harm,PNLC,9,0,0,0,0,False,11,0,11,11,0,False,,,,,
94,Chronic Venous Insufficiency,"Based on the ultrasound results and your symptoms, it looks like you have chronic venous insufficiency, which is causing the wound and swelling in your leg. We’ll need to manage this condition to help the wound heal and reduce the swelling. What do you think about starting with compression therapy and possibly a referral to a vascular specialist for further evaluation and treatment? DIAGNOSIS READY: Chronic Venous Insufficiency",Yes,True,True,DIAGNOSIS READY: Venous Stasis Ulcer,No,False,True,PNLC harm,PNLC,10,0,0,0,0,False,20,0,20,19,0,False,,,,,
100,Schizophreniform Disorder,"DIAGNOSIS READY: Schizophrenia. I’ll set up the appointments with a psychiatrist and a therapist for you, Alex. We’ll get you the support you need to manage your symptoms and improve your quality of life. Let’s work together to help you feel better.",Yes,True,True,"DIAGNOSIS READY: Schizophrenia, Paranoid Subtype",No,False,True,PNLC harm,PNLC,14,0,0,0,0,False,20,0,20,20,0,False,,,,,
